"","logFC","logCPM","F","PValue","FDR"
"ENSMUSG00000014195",-1.13305043098465,7.13652071362526,82.7734460826345,2.9651109973225e-08,1.12096199230677e-05
"ENSMUSG00000002658",-1.80104194928495,6.32640029670373,78.1276015653978,3.04198709325164e-08,1.12096199230677e-05
"ENSMUSG00000046387",1.30283638989086,4.8692031999301,78.4502766160179,3.16903468370496e-08,1.12096199230677e-05
"ENSMUSG00000031782",-1.14498118616453,5.29763334805017,75.3816008801879,3.24090178207985e-08,1.12096199230677e-05
"ENSMUSG00000030942",-1.53433980101254,5.17810194272774,74.777639203881,3.28881873020965e-08,1.12096199230677e-05
"ENSMUSG00000027014",-2.73516004133941,6.61745689939112,75.1921149568771,3.38519840104268e-08,1.12096199230677e-05
"ENSMUSG00000021792",-1.45662850242371,5.87508496326488,76.0634570397513,3.4514369050146e-08,1.12096199230677e-05
"ENSMUSG00000028869",-1.52635259569883,5.71719882792686,74.7283233453392,3.65078498722513e-08,1.14977601127972e-05
"ENSMUSG00000033900",-1.86865557677908,5.57572389700546,72.9777367786128,4.00307057449257e-08,1.20535302749605e-05
"ENSMUSG00000019777",-1.10649031246831,6.34482579318462,77.1549794410645,4.14827788905632e-08,1.20535302749605e-05
"ENSMUSG00000029247",-1.31643838321804,6.56100374465181,77.107748973752,4.27191614468894e-08,1.20535302749605e-05
"ENSMUSG00000038335",-2.422108702786,3.66398056081287,81.3209660231897,4.50515852408807e-08,1.20535302749605e-05
"ENSMUSG00000067825",-1.6259709360363,2.80303351557126,81.5222696359246,4.69781161763799e-08,1.20535302749605e-05
"ENSMUSG00000029014",-1.47599931174598,5.44113659135094,71.7430096234834,4.69867944545304e-08,1.20535302749605e-05
"ENSMUSG00000064115",2.13145262254241,8.31558269006493,78.7526835386883,4.70548069160515e-08,1.20535302749605e-05
"ENSMUSG00000028016",-1.43757515530975,3.92973624379999,76.4125901686881,4.75507304217629e-08,1.20535302749605e-05
"ENSMUSG00000042572",-1.33277728220024,5.99576662889799,72.822252041976,5.31135023036464e-08,1.30662422902877e-05
"ENSMUSG00000068739",-1.47532437075791,7.43818145549632,76.0052656298627,5.71988137449864e-08,1.30662422902877e-05
"ENSMUSG00000087687",-3.75959389117529,7.12791537321939,69.7268740939726,5.72724443565777e-08,1.30662422902877e-05
"ENSMUSG00000025202",-2.35527808058632,3.76467301361356,78.2036528951691,5.75964338182964e-08,1.30662422902877e-05
"ENSMUSG00000029062",-1.99724443094217,7.80165398536288,75.8441715982919,5.78319200763239e-08,1.30662422902877e-05
"ENSMUSG00000027080",-1.47643819550531,6.29924129556911,72.4257557938188,6.0181871862571e-08,1.33078764737809e-05
"ENSMUSG00000023845",0.917187316537741,5.87227545042834,74.5229617553587,6.28788674549779e-08,1.33336728946177e-05
"ENSMUSG00000036533",-1.95068338204786,3.34440742293013,77.4282823970272,6.37604837964446e-08,1.33336728946177e-05
"ENSMUSG00000010307",-1.66391893566609,3.5360688662765,75.9409147946955,6.44590221850874e-08,1.33336728946177e-05
"ENSMUSG00000021025",-1.46167786560537,4.95516347728801,68.7534705850587,6.56419342371373e-08,1.33336728946177e-05
"ENSMUSG00000059119",-1.33669033926426,6.80456827361893,73.3801579410486,6.67132676339958e-08,1.33336728946177e-05
"ENSMUSG00000001962",-1.61539837938754,6.33430289607054,70.9150037313328,6.88586212089235e-08,1.35027858532895e-05
