"","logFC","logCPM","F","PValue","FDR"
"ENSMUSG00000018666",-1.62929577622182,7.80446210435441,34.1499477765702,5.60923534027682e-06,0.000427049783906409
"ENSMUSG00000023826",1.9734034441295,7.13046842523913,31.9683930864972,5.81544662366528e-06,0.000435491150441033
"ENSMUSG00000001472",-1.41275998053631,8.35584392366711,33.9853789912301,5.97111255640286e-06,0.000439936163833037
"ENSMUSG00000027067",-1.51575311871862,6.79625549951456,33.1977042616111,6.25562465540741e-06,0.000453582435331762
"ENSMUSG00000008200",-1.50795429603953,6.90852305359793,32.8134607972069,6.95133264646989e-06,0.000493694570964444
"ENSMUSG00000037364",-1.76707271271749,6.45534013012751,32.2843174824597,7.03449350033903e-06,0.000493694570964444
"ENSMUSG00000094707",2.82043470282611,5.93323772329016,30.1758291596695,7.13306516717454e-06,0.000493694570964444
"ENSMUSG00000004980",-1.67731975163761,9.8050326581142,33.0275977640484,7.32922573355323e-06,0.000499700047027927
"ENSMUSG00000061589",-1.94913546241588,5.72288968662772,31.3131598090054,7.98065549729715e-06,0.000516428075470868
"ENSMUSG00000022311",2.08464489874075,8.59708825483296,32.4365711336694,8.10815090686746e-06,0.000516428075470868
"ENSMUSG00000093674",2.09343656385536,9.77970991045253,32.59448296434,8.12905178295824e-06,0.000516428075470868
"ENSMUSG00000030330",-1.74797308668746,6.5825579360479,31.7594782824252,8.21295634335995e-06,0.000516428075470868
"ENSMUSG00000025364",-1.57145123177824,6.64538787783096,31.8237776704961,8.29779227992622e-06,0.000516428075470868
"ENSMUSG00000020361",-1.10198899765891,7.60679735869882,32.3422600057631,8.32112326853008e-06,0.000516428075470868
"ENSMUSG00000037236",-1.69049413830616,8.77789066666239,32.3668327242801,8.41145493864572e-06,0.000516428075470868
"ENSMUSG00000105797",2.87128742474599,7.53982070495751,29.7087829717083,8.47900736872047e-06,0.000516428075470868
"ENSMUSG00000022789",-1.83004422491865,7.25171678156735,31.8927532019661,8.65349383455744e-06,0.000520120524161295
"ENSMUSG00000030659",-1.48331704767554,5.54039250021895,30.4744223855151,9.0828875165173e-06,0.000538839352927935
